Sujetos;Grupo;University;G̩nero;Edad;EdadAgrupada;Semestre;Program;Espe1;Espe2;Espe3;Espe4;Espe5;Specialization;Credib1;Credib2;Credib3;Credib4;Credib5;Credibility;Coord1;Coord2;Coord3;Coord4;Coord5;Coordination;CompDig1Instr;CompDig2Instr;CompDig3Instr;CompDig4Instr;CompDig5Instr;CompDig16Instr;CompDig6EstratPrivil;CompDig7EstratPrivil;CompDig8EstratPrivil;CompDig9EstratPrivil;CompDig14EstratPrivil;CompDig21EstratPrivil;CompDig22EstratPrivil;CompDig10Estrat3propiac;CompDig11EstratApropiac;CompDig12Estr3t3propi3c;CompDig13EstratApropiac;CompDig15Exp3nsiv;CompDig17Expansiv;CompDig18Expansiv;CompDig19Expansiv;CompDig20Exp3nsiv;ExperColabPrev1;CantExperColabPrev;TotInstrumental;TotEPrivilegiar;TotEApropiacion;TotExpansivo
1;G 1;1;2;24;0;6;1;5;5;5;5;5;25;5;5;5;5;1;21;5;5;1;5;1;17;3;3;1;2;2;1;4;4;4;3;5;3;3;5;2;2;1;2;2;5;3;3;1;4;12;26;10;15
2;G 1;1;2;18;0;6;1;5;4;5;5;5;24;5;5;5;1;1;17;5;5;1;5;1;17;3;3;3;3;4;4;3;2;4;3;2;3;4;3;2;3;2;2;1;2;2;4;1;1;20;21;10;11
3;G 1;2;1;21;0;8;4;3;5;3;3;2;16;3;3;3;3;3;15;2;3;3;2;2;12;4;4;3;2;5;3;4;5;5;5;5;4;5;5;3;5;3;5;5;5;3;4;1;1;21;33;16;22
4;G 2;1;1;28;0;6;1;1;5;2;1;1;10;5;3;1;5;1;15;3;3;3;1;5;15;3;5;1;1;4;4;5;4;4;3;5;5;4;5;2;3;2;5;3;1;4;5;1;2;18;30;12;18
5;G 2;2;2;22;0;7;3;3;4;4;4;4;19;5;4;4;5;4;22;4;5;4;4;4;21;3;3;1;1;2;3;1;2;5;4;4;2;4;5;3;4;3;5;1;1;1;2;1;4;13;22;15;10
6;G 2;2;1;20;0;7;3;5;5;5;5;5;25;5;5;5;5;1;21;5;5;2;5;2;19;5;5;5;2;4;4;5;3;4;4;3;4;5;5;3;4;4;4;5;5;4;4;2;4;25;28;16;22
7;G 3;1;1;21;0;6;2;2;2;3;2;2;11;2;2;1;1;1;7;1;1;2;2;2;8;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;2;1;1;1;5;1;1;27;35;20;10
8;G 3;1;2;24;0;6;2;4;3;4;5;3;19;4;4;4;3;2;17;5;5;3;5;2;20;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;5;1;4;26;35;20;19
9;G 3;2;1;22;0;8;4;1;5;3;2;5;16;4;1;1;5;1;12;2;2;5;1;5;15;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;2;2;1;2;12;13;7;8
10;G 3;2;1;24;0;8;4;5;4;4;5;4;22;5;5;4;3;2;19;4;4;1;4;1;14;5;5;3;2;5;3;5;5;5;4;2;3;4;3;2;4;3;5;4;5;1;2;1;2;23;28;12;17
11;G 4;1;1;35;0;6;2;3;5;3;3;3;17;3;2;2;2;3;12;3;3;3;3;3;15;4;4;4;4;4;4;4;5;5;5;5;5;5;4;4;4;4;5;3;1;4;5;1;4;24;34;16;18
12;G 4;2;1;21;0;8;4;5;4;4;4;4;21;2;5;4;3;5;19;3;4;3;4;4;18;3;3;2;2;2;3;3;4;4;4;4;3;4;4;3;3;3;4;2;1;3;3;1;4;15;26;13;13
13;G 4;2;2;24;0;8;4;3;5;3;4;4;19;4;3;3;3;3;16;4;4;3;3;5;19;2;2;1;1;2;2;3;3;3;3;3;3;3;3;2;3;3;3;1;2;1;2;1;4;10;21;11;9
14;G 5;1;2;21;0;6;2;5;5;5;5;5;25;5;5;5;5;1;21;5;5;1;5;1;17;3;2;2;4;1;2;3;3;3;3;3;1;3;3;2;3;3;2;2;1;1;1;1;3;14;19;11;7
15;G 5;2;1;23;0;8;4;3;5;1;3;5;17;1;1;1;5;5;13;1;2;4;3;3;13;2;2;2;3;4;4;5;5;5;4;5;1;5;5;4;5;3;5;5;5;4;5;1;3;17;30;17;24
16;G 5;1;2;24;0;6;2;4;4;4;4;4;20;4;4;4;3;2;17;5;4;1;4;3;17;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;3;3;3;4;1;4;23;27;16;17
17;G 6;2;1;22;0;7;4;5;5;3;5;4;22;5;5;5;5;5;25;5;5;5;5;5;25;3;3;3;3;3;3;4;4;4;4;4;3;4;5;5;4;4;4;3;1;2;3;1;4;18;27;18;13
18;G 6;1;2;27;0;6;2;5;5;5;5;5;25;5;5;5;5;5;25;5;5;5;5;5;25;3;2;1;3;2;1;4;2;5;3;3;1;1;4;1;5;1;5;1;1;1;2;1;4;12;19;11;10
19;G 6;1;1;23;0;6;2;4;4;4;4;4;20;4;4;4;4;4;20;4;4;4;4;4;20;3;4;2;3;3;2;4;4;4;5;3;3;4;3;1;2;4;4;1;1;3;4;1;4;17;27;10;13
20;G 7;1;1;30;0;6;2;2;4;3;3;3;15;1;3;3;4;3;14;3;3;4;3;3;16;3;3;3;2;1;2;4;2;2;3;3;2;3;3;2;4;3;4;2;1;1;3;1;4;14;19;12;11
21;G 7;2;1;22;0;7;3;4;4;4;4;4;20;4;4;4;4;2;18;5;5;2;4;2;18;2;2;2;2;2;1;3;3;3;3;2;5;4;4;1;2;2;5;2;2;1;3;1;4;11;23;9;13
22;G 7;2;2;18;0;7;3;3;5;2;3;2;15;4;4;4;3;4;19;2;3;3;2;3;13;2;2;2;2;3;4;4;5;4;4;5;3;4;5;3;3;4;5;2;5;2;3;1;4;15;29;15;17
23;G 8;2;1;22;0;7;3;4;2;4;4;4;18;4;5;5;4;2;20;5;5;4;4;4;22;4;4;2;3;5;4;5;5;5;5;5;5;5;5;4;4;5;5;3;1;3;5;1;4;22;35;18;17
24;G 8;2;2;23;0;8;4;2;4;2;3;4;15;5;5;5;5;3;23;2;1;3;3;3;12;3;3;3;2;3;2;3;2;3;3;3;2;3;3;1;2;2;3;1;1;2;3;1;4;16;19;8;10
25;G 8;1;2;42;0;6;2;4;4;3;3;5;19;2;4;4;4;4;18;3;2;3;2;5;15;3;3;3;3;4;3;5;5;5;5;4;3;5;1;2;5;3;5;4;4;3;4;1;4;19;32;11;20
26;G 9;2;2;25;0;8;4;5;5;4;3;3;20;2;3;2;5;4;16;3;3;4;3;4;17;2;3;1;3;1;2;3;3;4;3;3;3;4;4;3;4;4;5;5;5;3;4;1;4;12;23;15;22
27;G 9;2;1;24;0;7;3;1;4;1;1;1;8;1;1;2;5;5;14;3;1;4;2;5;15;5;5;5;3;5;3;5;4;5;4;5;4;5;4;1;5;3;3;1;1;5;5;1;4;26;32;13;15
28;G 9;1;2;43;0;7;2;4;3;4;5;5;21;5;5;5;4;5;24;4;1;3;5;1;14;3;4;3;2;4;2;4;3;4;4;4;3;4;4;2;4;4;4;2;1;3;4;1;4;18;26;14;14
29;G 10;2;1;22;0;7;3;4;4;4;4;4;20;4;4;4;3;2;17;4;3;2;4;3;16;4;3;3;3;3;3;4;4;5;5;4;4;5;4;3;3;3;5;5;5;3;5;1;4;19;31;13;23
30;G 10;2;1;22;0;7;3;4;3;4;4;4;19;4;4;4;4;3;19;3;5;1;5;3;17;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;1;4;12;13;8;8
31;G 10;2;1;21;0;7;3;5;5;5;5;5;25;5;5;5;5;5;25;5;5;5;5;5;25;4;4;3;4;3;1;4;3;2;3;4;3;1;4;2;3;1;4;1;2;3;3;1;4;19;20;10;13
32;G 11;1;2;19;0;7;2;3;5;1;5;4;18;5;3;4;5;3;20;1;4;2;4;1;12;1;4;4;3;5;3;5;5;5;5;4;4;5;5;3;4;4;3;2;5;4;4;1;1;20;33;16;18
33;G 11;1;2;21;0;7;2;5;4;5;5;5;24;5;5;5;5;5;25;4;5;4;5;5;23;3;3;2;2;2;2;4;4;4;4;5;3;4;4;2;3;4;5;3;2;2;3;1;1;14;28;13;15
34;G 11;2;1;19;0;7;3;3;5;4;4;3;19;3;3;2;3;3;14;4;4;2;2;3;15;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;4;5;4;5;5;5;1;4;29;34;19;24
35;G 12;2;1;20;0;7;3;4;5;4;2;2;17;4;1;3;4;5;17;2;3;1;3;4;13;5;2;2;1;3;1;5;5;4;4;4;2;4;2;1;4;2;4;1;1;1;4;1;4;14;28;9;11
36;G 12;2;1;21;0;7;3;5;4;5;5;5;24;5;5;5;3;2;20;5;3;2;5;3;18;4;4;3;3;5;4;5;5;5;5;5;4;5;5;3;5;4;5;1;1;3;3;1;2;23;34;17;13
37;G 12;2;2;21;0;7;3;2;5;5;3;1;16;1;5;5;2;1;14;3;5;1;3;1;13;3;2;2;2;2;2;3;3;5;5;4;2;5;5;2;3;2;4;3;1;2;2;1;2;13;27;12;12
38;G 13;1;2;39;0;7;2;1;1;1;1;1;5;4;1;1;5;5;16;1;1;5;1;5;13;3;3;3;2;4;3;4;4;4;4;5;5;5;4;4;5;5;3;2;1;3;5;1;2;18;31;18;14
39;G 13;2;1;23;0;7;3;1;5;1;1;1;9;1;1;1;5;5;13;1;1;5;1;5;13;4;5;4;5;4;3;3;4;5;4;4;4;4;3;5;4;4;3;1;1;4;4;1;3;25;28;16;13
40;G 13;1;2;27;0;6;1;3;4;2;2;3;14;3;3;2;4;3;15;1;1;2;2;2;8;5;4;4;2;3;2;3;3;4;4;4;4;5;5;1;1;1;5;3;5;3;4;1;1;20;27;8;20
41;G 14;2;1;25;0;7;3;3;4;4;4;1;16;5;4;4;5;4;22;4;4;4;4;4;20;4;3;1;1;4;2;4;5;4;5;3;4;5;5;3;2;2;5;5;5;1;2;2;1;15;30;12;18
42;G 14;1;2;35;0;6;1;5;3;5;5;4;22;5;5;5;3;1;19;5;1;1;5;4;16;5;3;3;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;1;4;25;35;20;23
43;G 14;1;1;29;0;7;1;3;3;3;3;4;16;4;4;4;2;5;19;4;3;3;4;3;17;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;2;2;1;4;11;13;7;9
44;G 15;1;1;30;0;7;1;5;4;4;5;3;21;4;5;5;5;5;24;5;5;1;5;2;18;3;2;3;3;3;2;3;3;3;3;3;2;3;3;2;3;2;2;3;3;2;3;1;4;16;20;10;13
45;G 15;1;2;32;0;7;1;5;5;5;5;3;23;5;4;4;4;2;19;4;4;3;4;3;18;2;3;3;3;3;3;3;3;3;3;3;2;3;3;1;3;3;3;1;1;2;3;1;2;17;20;10;10
46;G 15;1;2;32;0;7;1;5;4;5;4;4;22;4;3;4;4;3;18;4;4;4;4;4;20;3;3;3;3;3;4;4;4;4;4;5;3;5;5;5;5;5;4;3;4;3;3;1;4;19;29;20;17
47;G 16;2;1;24;0;7;3;3;4;4;3;3;17;5;3;3;3;3;17;3;1;3;3;5;15;5;5;4;4;4;4;4;4;4;5;4;5;5;5;2;5;4;5;5;5;5;5;2;1;26;31;16;25
48;G 16;2;2;23;0;7;3;4;5;5;5;3;22;3;4;4;5;2;18;3;4;1;4;2;14;2;3;1;2;3;3;4;4;4;3;3;3;3;4;4;4;4;3;3;3;3;3;1;4;14;24;16;15
49;G 16;1;2;37;0;7;1;3;3;4;3;3;16;4;4;4;3;2;17;3;2;2;3;4;14;2;2;2;1;2;1;2;4;3;5;5;4;4;5;2;2;2;5;5;5;1;3;1;3;10;27;11;19
50;G 17;2;1;23;0;7;3;2;4;3;4;5;18;5;5;5;3;1;19;2;1;1;2;5;11;2;3;2;1;3;1;4;5;5;5;4;5;4;4;2;5;3;5;5;5;3;5;1;4;12;32;14;23
51;G 17;2;2;22;0;8;4;2;5;2;1;1;11;2;1;1;5;5;14;1;3;5;5;5;19;2;2;2;2;2;2;3;3;3;2;3;2;2;3;3;2;2;3;2;2;2;2;1;4;12;18;10;11
52;G 17;2;2;23;0;7;3;3;5;2;2;2;14;1;2;2;4;5;14;2;2;5;2;4;15;2;3;2;2;4;3;5;4;4;3;4;3;2;4;2;3;4;4;5;5;2;3;2;1;16;25;13;19
53;G 18;2;1;20;0;7;3;4;4;5;5;5;23;5;5;5;5;5;25;5;4;4;4;4;21;3;2;2;2;2;2;3;3;5;5;4;2;5;5;2;3;2;4;3;1;2;2;1;2;13;27;12;12
54;G 18;1;2;29;0;7;1;5;5;5;5;5;25;5;4;5;5;1;20;5;5;4;5;5;24;3;5;1;1;4;4;5;4;4;3;5;5;4;5;2;3;2;5;3;1;4;5;1;2;18;30;12;18
55;G 18;2;2;20;0;7;3;3;3;3;3;3;15;3;3;3;3;3;15;3;3;3;3;3;15;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;2;1;1;1;5;2;1;27;35;20;10
56;G 18;2;2;23;0;7;3;4;3;5;4;3;19;5;4;5;5;1;20;5;4;2;5;3;19;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;5;1;4;26;35;20;19
57;G 19;1;2;34;0;6;2;3;3;2;3;2;13;3;3;3;3;3;15;2;3;3;2;4;14;4;4;4;4;4;4;4;5;5;5;5;5;5;4;4;4;4;5;3;1;4;5;1;4;24;34;16;18
58;G 19;1;2;26;0;6;2;3;4;3;4;2;16;5;5;5;5;1;21;4;5;1;3;5;18;3;2;2;4;1;2;3;3;3;3;3;1;3;3;2;3;3;2;2;1;1;1;1;3;14;19;11;7
59;G 19;1;1;33;0;6;1;4;5;4;4;3;20;5;5;4;4;2;20;3;4;2;2;4;15;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;3;3;3;4;1;4;23;27;16;17
60;G 20;1;2;29;0;6;1;2;5;2;2;2;13;3;1;1;5;4;14;2;3;3;3;5;16;3;2;1;3;2;1;4;2;5;3;3;1;1;4;1;5;1;5;1;1;1;2;1;4;12;19;11;10
61;G 20;1;2;36;0;6;1;4;4;5;5;4;22;5;5;5;5;4;24;4;5;4;4;4;21;3;4;2;3;3;2;4;4;4;5;3;3;4;3;1;2;4;4;1;1;3;4;1;4;17;27;10;13
62;G 20;2;2;21;0;7;3;3;5;5;5;4;22;5;4;3;4;3;19;3;3;3;4;4;17;3;3;3;2;1;2;4;2;2;3;3;2;3;3;2;4;3;4;2;1;1;3;1;4;14;19;12;11
63;G 21;1;1;42;0;6;2;5;5;4;4;5;23;5;5;5;5;5;25;5;5;5;5;5;25;3;5;1;1;4;4;5;4;4;3;5;5;4;5;2;3;2;5;3;1;4;5;1;2;18;30;12;18
64;G 21;1;2;31;0;6;1;3;4;3;4;4;18;4;5;5;1;1;16;3;5;1;4;4;17;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;2;1;1;1;5;1;1;27;35;20;10
65;G 21;1;2;28;0;6;1;5;3;1;5;4;18;5;5;5;4;1;20;5;5;2;5;2;19;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;5;1;4;26;35;20;19
